常用语分组,常用语内容
墙地固,QJ-绿色地固：强力型地固是一种专门作用于水泥地面上的涂料，适用于家庭装修或工程装修初期水泥地面的封闭处理，防止跑沙现象。地固耐水防潮，也可以避免木地板受潮气侵蚀而产生的变形，同时避免日后从地板缝隙中“扑灰”。该产品可有多种颜色，主要以绿色，蓝色，红色为主，涂刷在地面上具有颜色鲜艳，色彩分布均匀，遮盖力强等特点，干燥后不掉粉，不掉色，可随意清扫。
墙地固,汇报结尾→→
墙地固,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
砸墙,汇报标题→→
砸墙,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【砸墙施工】，施工负责人：XXX   现在向您发送今日施工情况，请您查收。"
砸墙,汇报内容→→
砸墙,ZJ-打墙：设计定位，确认位置
砸墙,ZJ-打整墙：由下之上开始打，打之前需注意做好安全防护，以免上墙突然掉下伤人。
砸墙,ZJ-打半边墙：确认位置，弹线，用切割机开槽至墙的一半，再打墙，可以确保打完之后剖面的平整。
砸墙,ZJ-打墙遇到电线水管时的注意：应小心处理，妥善解决，对原有材料进行适当保护。
砸墙,ZJ-原有购房配置打墙时留下的开关插座已经保留好。
砸墙,ZJ-按标准进行垃圾装袋。
砸墙,汇报结尾→→
砸墙,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
水电,汇报标题→→
水电施工,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【水电施工】，施工负责人：XXX   现在向您发送今日施工情况，请您查收。"
水电施工,SJ-水暖管件：目前我公司做水路主要采用伟星PP-R绿色家园生态管，采用优质进口原料和进口设备生产，配件采用大弧弯工艺。内壁光滑，水阻小更顺畅，耐高温，耐腐蚀，绿色卫生，环保健康。连接便捷可靠，运行性能稳定，为您提供更安全的用水条件。
水电施工,DJ-众邦电缆电线：国标铜芯耐火电线，其优点它的导体采用高纯度无氧铜，铜的含量高达95%以上，电阻低不易发热；偏心率极低，薄厚均匀，有效防止电流击穿，打火等现象发生，绝缘层采用进口阻燃PC，高强度绝缘层，防水、阻燃效果极佳。一般照明采用2.5平方电线，插座采用4平方电线，筒灯采用1.5平方电线。
水电施工,DJ-伟星管道：伟星PVC线管是一种以聚氯乙烯树脂为主要原料，加入其他添加剂经挤出成型的电工套管，主要用于2000V以下的工业与建筑工程中的电线电缆保护；具有良好的阻燃、绝缘性能，安装便捷，使用寿命长等特点。
水电施工,电部分→→
水电施工,DJ-弹线开槽（管槽切割应横平竖直，深度符合布管后1cm-1.5cm）
水电施工,DJ-底盒敷设整齐平正，高低、间隔距离应一致，误差不超出0.5cm，经过检查现场底盒位置与图纸相符（与水电定位相符）
水电施工,DJ-开关插座常规高度（底边离地净高，定位时应按实际情况调整）： 普通插座： 30cm 。开关： 0cm。分体空调插座： 230m。 立式空调插座： 30cm。房间电视机插座： 70cm。油烟机插座： 220cm（欧式油烟机可置顶上）。床头灯插座： 60cm。厨房备用插座： 1cm
水电施工,"	DJ-配线：空调柜机及厨、卫大功率电器插座导线铜芯截面积为4mm，电热水器导线铜芯截面积为6mm，其它插座导线铜芯截面积为2.5mm，照明支线为2.5mm；管内电线总截面积未超过管内截面积的70%。"
水电施工,DJ-墙、顶面布管横平竖直，管卡固定，沟槽后期用水泥砂浆或粉刷石膏补平。
水电施工,DJ-管与管使用直接连接牢靠，拐弯处无缩径、无破损。
水电施工,DJ-插座接线并头缠绕圈数5-7圈，并包裹绝缘防水电胶布
水电施工,DJ-电路布管强、弱电线管交叉处使用锡箔纸包裹弱电管做防干扰处理。
水电施工,DJ-开关、插座暗盒安装，线盒水平安装、表面整齐且不突出墙面，固定牢靠，临时品诺筑家专用保护盖安装好。
水电施工,DJ-天然气管暗埋，保证后期美观度。
水电施工,DJ-所有布线（除灯头线外）需套管，局部布线可套绝缘黄腊管，无电线裸露入墙体。
水电施工,水部分→→
水电施工,SJ-冷热水管，冷热水管并行间距≥cm，出水口左热右冷，出水口应做到高低，深浅一致，突出原墙面1.5CM左右。
水电施工,SJ-水管安装不得靠近电源，水管与电线管并行间距大于cm，交叉时PVC管应做过桥弯过渡；开关插座与燃气管口间距不小于30cm。
水电施工,SJ-出水口高度，淋浴龙头：1cm，浴缸龙头：65cm，洗脸（菜）盆出水口：60cm，洗衣机水龙头：1cm或洗衣机侧60cm，普通龙头： 60cm经过检查现场底盒位置与图纸相符（与水电定位相符，尺寸仅供参考）
水电施工,SJ-PPR给水管改造完毕必须进行打压测试，试验符合验收规范要求，保压试验时间不低于30分钟，压力为0.8Mpa，观察30分钟后压力表是否有跌落，如果跌落不超过0.Mpa即为合格。
水电施工,"SJ-PPR管路安装水口(左热右冷)；淋浴花洒中心间距ｃｍ，距离地面mm，热水器中心间距ｃｍ，距离棚面7mm、坐便给水口距离地面2mm，洗面盆给水口距离地面450mm,洗衣机给水口距离地面mm,（特殊情况根据施工现场实际情况）"
水电施工,排水部分→→
水电施工,SJ-排水管径：排污直径1mm，主排水直径75 mm，地漏、洗手（菜）盆排水直径50 mm，做通水试验，确定无渗漏，验收完毕下水口封管帽。
水电施工,SJ-排水铺设：排水管铺设时洗手盆、地漏已设置存水弯，使用斜三通与45度弯头，走水顺畅，无渗漏，倒溢现象。
水电施工,SJ-排水管做排水通畅试验，完工后排水专用保护盖盖好。
水电施工,安装部分→→
水电施工,AJ-开关面板安装完毕，经检查，无高低不平，松动，并且都已检查确保每组线都通电，无漏电情况。
水电施工,AJ-灯饰安装无松动，通电正常，灯槽反光一致。
水电施工,AJ-水龙头、水箱安装牢固，未出现漏水。
水电施工,AJ-电源底盒保护盖：保证用电安全，有效防止沙石进入底盒内部，保护底盒内部清洁。
水电施工,汇报结尾→→
水电施工,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
水电施工,开关插座数量如下：
水电施工,DJ-临时插座、照明外，插座、灯头线头需压临时保护线帽。
水电路验收,汇报标题→→
水电路验收,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX,为您即时报道，今天实际施工项目为【水电路验收】，现在向您发送今日施工情况，请您查收。"
水电路验收,电路部分→→
水电路验收,DJ-所用电线材料图片是否已发群里
水电路验收,"DJ-局改全屋插座4㎡，开关2.5㎡，灯线1.5㎡,  网线超6类,光纤线同时接入"
水电路验收,DJ-强弱电分开单独走线，红管强电，蓝管弱电
水电路验收,DJ-强弱电交接处用锡纸包裹防止干扰
水电路验收,DJ-裸漏线头绝缘胶带包裹处理或者有堵帽保护
水电路验收,DJ-线管和线盒链接处用锁扣连接
水电路验收,DJ-插座每根线管穿线数量不超3根
水电路验收,"DJ-布线按规定穿PVC绝缘管，横平竖直，采用冷弯工艺，禁止使用90°弯头,双管采用线卡间距"
水电路验收,DJ-卫生间地面不得走电线管，烟道处禁止开槽
水电路验收,DJ-无法开槽黄蜡管穿线，不得穿裸线
水电路验收,DJ-电路位置按设计及业主需求施工，无遗漏位置
水电路验收,DJ-水电图是否群内有记录
水电路验收,DJ-分线地方必须有分线盒
水电路验收,水路部分→→
水电路验收,SJ-水管交叉处是否有过桥弯处理
水电路验收,SJ-冷热水管不共槽，水路，电路不同槽
水电路验收,SJ-冷热水安装应左热右冷，上热下冷
水电路验收,SJ-淋浴头采用双联内丝弯控制15公分间距
水电路验收,SJ-下水管进行通水试验，试验完用管盖保护
水电路验收,SJ-管道，配件带防伪标识
水电路验收,SJ-打压测试是否合格，官网是否可查询记录
水电路验收,SJ-水路按设计及业主要求施工，无遗漏位置
地暖施工,汇报标题→→
地暖施工,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【地暖施工】，施工负责人：XXX   现在向您发送今日施工情况，请您查收。"
地暖施工,"	DJ-加热管的安装间距为2-220mm，管材应用地热采暖专用管，符合双方签定合同时确定的规格；若管间距加密应在施工合同中说明并加收管材成本费。"
地暖施工,"	DJ-在分集水器附近连接处的加热管已加装柔性套管，并高于装饰层0--2 mm。当管材排列较密且间距小于1 mm时应加设柔性套管。"
地暖施工,DJ-已预留墙角、地面热胀伸缩缝，使用伸缩棉条，以防因加热导致热胀后致使地面起拱，损坏其他设施。
地暖施工,DJ-加热管与分集水器的连接处无渗漏。
地暖施工,"	DJ-填充层内加热管（PE—X）严禁有接头，（PE—RT除外）。"
地暖施工,"	DJ-水压试验压力为工作压力的1.5倍，且不应小于0.6Mpa。"
地暖施工,"	DJ-在试验压力稳定时间应不少于1小时，其压力降幅不应大于0. Mpa。"
地暖施工,DJ-地暖回填材料比例水泥、大沙、米石比例为1:2;3。
地暖施工,DJ-回填完毕要用塑料薄膜覆盖完毕，防止温差过大造成裂缝。
地暖施工,DJ-温控阀已安装完毕，起到调节作用，方便使用
地暖施工,DJ-分水器保护罩：工地地暖分水器专用保护罩。
地暖施工,DJ-安装完毕，分水器每路标有所管区域，方便后期使用。
地暖施工,"品诺筑家工项目经理XX从现场为您发来的施工进度,感谢各位的配合与支持，祝生活愉快，家庭幸福！"
防水,汇报标题→→
防水,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【防水施工】，施工负责人：XXX   现在向您发送今日施工情况，请您查收。"
防水,"【防水施工温馨提示】
尊敬的业主，您好，目前工地正在进行防水施工，施工进行时由于地面涂刷防水材料未完全干透，请勿进入踩踏，杜绝后期出现渗水漏水的安全隐患。
品诺筑家项目经理XX祝您生活愉快！"""
防水,FJ- 防水材料：丙纶布卷材防水，全名聚乙烯丙纶卷材，上下表面粗糙，无纺布纤维呈无规则交叉结构，形成立体网孔。可以在环境温度-40℃～60℃范围内长期稳定使用。适合多种材料粘合，尤其与水泥材料在凝固过程中直接粘合，只要无明水便可施工，其综合性能良好，抗拉强度高。抗渗能力强，低温柔性好，膨胀系数小，易粘接，摩擦系数小，可直接设于砂土中使用，性能稳定可靠。是一种无毒、无污染的绿色环保产品。
防水,FJ- 防水材料：东方雨虹JS柔性防水，蓝色有利于检查防水施工的标准和规范。东方雨虹防水具有强附着力、抗渗透、耐寒抗盐类侵蚀，柔韧抗变形力强的优点，环保系数符合欧盟标准的绿色产品。
防水,FJ-防水施工，现场原始地面应打扫干净整洁，进行第一遍丙纶布防水施工，要求缝隙对接均匀，施工范围包括地面以及墙面上翻30公分
防水,FJ-防水施工，门口雨虹蓝防水做折边儿处理，防止墙面后期受潮返碱。
防水,FJ-防水施工，卫生间门口防水台儿是为了防止后期出现返水现象，这样更加有保证
防水,FJ-防水施工，丙纶布防水施工结束后，进行第二遍雨虹柔性防水涂刷，要求墙地面涂刷均匀，施工范围包括地面以及墙面上翻30公分，淋浴区域为1.5米X1.8米
防水,FJ-防水施工，待防水完全晾干后，进行闭水试验，要求不能低于48个小时
防水,FJ-防水施工，前往楼下验收防水施工，检查下水管周围以及整个顶面有无渗水现象
防水,汇报结尾→→
防水,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
瓦工,汇报标题→→
瓦工,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【瓦工施工】，施工负责人：XXX   现在向您发送今日施工情况，请您查收。"
瓦工,WJ-瓷砖验收，大地砖的型号以及数量验收，经现场查看跟您前期选购材料型号一致无误，现向您发送图片，（图片会存在轻微色差，请以实物为准），请您注意查收
瓦工,WJ-瓷砖验收，厨房墙砖与地砖的型号以及数量验收，经现场查看跟您前期选购材料型号一致无误，现向您发送图片，（图片会存在轻微色差，请以实物为准），请您注意查收
瓦工,WJ-瓷砖验收，卫生间墙砖与地砖的型号以及数量验收，经现场查看跟您前期选购材料型号一致无误，现向您发送图片，（图片会存在轻微色差，请以实物为准），请您注意查收
瓦工,WJ-瓷砖验收，阳台墙砖与地砖的型号以及数量验收，经现场查看跟您前期选购材料型号一致无误，现向您发送图片，（图片会存在轻微色差，请以实物为准），请您注意查收
瓦工,WJ-瓷砖验收，过门石的型号以及数量验收，经现场查看跟您前期选购材料型号一致无误，现向您发送图片，（图片会存在轻微色差，请以实物为准），请您注意查收
瓦工,汇报结尾→→
瓦工,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
瓦工,汇报标题→→
瓦工,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【瓦工施工】，施工负责人：XXX   现在向您发送今日施工情况，请您查收。"
瓦工,汇报内容→→
瓦工,WJ-水泥搅拌桶：工地专用水泥搅拌桶。
瓦工,WJ-泡砖水箱：工地专用泡砖水箱。
瓦工,WJ-水泥：是家庭装修必不可少的建筑材料，主要用于瓷砖粘贴，地面抹灰找平，墙体砌筑等。家装最常用的水泥为32.5号硅酸盐水泥。瓷砖铺贴水泥砂浆一般应按水泥：砂=1：2.5（体积比）的比例来搅拌。
瓦工,WJ-沙子：配合水泥制成水泥砂浆，墙体砌筑、粘贴瓷砖和地面找平用。分为大沙、细沙，大沙粒径0.35---0.5mm，细沙粒径0.25---0.35mm，建议使用大沙为好。
瓦工,WJ- 水泥青砖：砌柱子用的一种长方体砌块，用水泥灰等轻质材料烧制而成，尺寸为220*98×37mm。砌柱子砌筑的主要标准是不能有上下"通缝"以保证柱子的坚固，因此砖块的砌筑应遵循内外搭接上下错缝的原则。
瓦工,WJ- 轻质砖：砌墙用的一种长方体砌块，用粉煤灰等轻质材料烧制而成，尺寸为6*240×0mm。砖墙砌筑的主要标准是不能有上下"通缝"以保证砖墙的坚固，因此砖块的砌筑应遵循内外搭接上下错缝的原则。
瓦工,WJ-瓦工专用壁护宝：壁护宝粘接剂是外观浅黄色的胶液，代替了传统施工中使用的8胶水，瓦工施工涂刷在水泥墙面，具有优异的渗透性，能充分浸润墙面基层，提高光滑界面附着力，粘连强度高，保证水泥拉毛牢固可靠，提高水泥素灰和原始水泥墙面的粘接强度。
瓦工,WJ-砂浆宝：砂浆宝是袋装粉状物，瓦工施工时按照比例掺入水泥中，增加素灰的粘接性，防止水泥中的水分快速挥发，增加了水泥素灰和原始水泥墙面的粘接强度。
瓦工,WJ-瓷砖矫正器：调节瓷砖平整度，更好保证瓷砖铺贴效果
瓦工,WJ-瓷砖背胶：涂刷于瓷砖背面，增加瓷砖与灰层的粘结力，多用于全瓷砖墙面铺贴。
瓦工,"WJ-砌体工程：新旧墙体连接成已放6mm钢筋,确保墙体牢固，门头为新预制梁，沉重可靠。"
瓦工,WJ-抹灰：新旧墙体连接处按照公司规定均已挂铁网，降低连接处的开裂几率。
瓦工,WJ-地面找平：地面的平整度达到要求，要求是2米靠尺检查误差不超过3毫米，地面不返沙起灰。施工后2天之内我们会做地面养护，以获得更好的施工质量。养护期间不能进屋踩压，避免损坏地面，3-5天后地面可以行走。
瓦工,WJ-门槛石处理：门槛石已做水泥素灰处理，避免水汽通过松散水泥沙进入房间大厅
瓦工,WJ-管道静音处理：采用阻尼片、隔音棉包裹，有效地降低水噪。
瓦工,WJ-烟道下水管处理：采用青砖加砌，内置加筋处理，外部挂网抹灰。
瓦工,WJ-墙面砖铺贴，现场进行墙砖铺贴，粘结材料为水泥沙，墙砖背面与原墙清洁后再刷壁护宝，增加粘结能力，避免空鼓掉落的风险，将小砖留在门后。
瓦工,WJ-墙面瓷砖铺贴遇水管水龙头时，师傅采用钻孔器进行钻孔，避免安装花洒水龙头出现缝隙，影响美观。
瓦工,WJ-铺贴完毕，墙砖铺贴平整，缝隙均匀，预留1-2mm缝隙，后期美缝效果更佳，并检查空鼓现象个别单砖小于5%，符合施工标准。
瓦工,WJ-地砖铺贴，放样合理，铺贴水平，缝隙均匀，采用品诺筑家专用瓷砖矫正器，预留2mm缝隙，后期美缝效果更佳。
瓦工,WJ-铺贴完成地砖铺贴平整，无错缝，缝隙均匀，清理干净验收后会用专用地面保护膜保护，以防地砖磨损。
瓦工,WJ-卫生间阳台地漏铺贴：四边切割法，以地漏为中心，在地漏边上6-厘米的地方打出一个方框，从这个地方做一个对角线，贴砖时做一个坡度。
瓦工,WJ-地砖放坡：阳台卫生间地面铺贴地砖，坡度为1.5%~2.5%，作倒水测试，地面无积水。
瓦工,汇报结尾→→
瓦工,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
瓦工验收,汇报标题→→
瓦工验收,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX,为您即时报道，今天实际施工项目为【瓦工验收】，现在向您发送今日施工情况，请您查收。"
瓦工验收,汇报内容→→
瓦工验收,YJ-水电标识贴：有效指示水电走向，为完工成品安装做好标记，防止损坏隐蔽管线。
瓦工验收,YJ-瓷砖护角：用于墙砖粘贴完毕阳角对角处的防护。
瓦工验收,YJ-墙地砖空鼓单砖≤15%，总面积≤5%
瓦工验收,YJ-墙地砖表面平整符合要求（允许偏差2mm）
瓦工验收,YJ-地漏安装牢固，下水通畅
瓦工验收,YJ-阴阳角是否垂直（允许偏差2mm）
瓦工验收,YJ-卫生间墙地砖通缝
瓦工验收,YJ-铺贴完后的墙砖和地砖对空鼓方面的质量要求：①无整块空鼓；②单块砖边或角空鼓数量不超过铺贴砖总数量的5%。
瓦工验收,YJ-所有砖面颜色一致，无破损。
瓦工验收,YJ-对卫生间铺贴完地砖后的坡度控制要求：须满足2%的排水要求。
瓦工验收,YJ-地面保护膜：对瓷砖表面起到保护作用，防止防刮花、刮伤（主材安装后、竣工前清理地面保护膜及保洁）。
瓦工验收,汇报结尾→→
瓦工验收,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
木工,汇报标题→→
木工,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【木工施工】，施工负责人：XXX   现在向您发送今日施工情况，请您查收。"
木工,汇报内容→→
木工,MJ-木工进场，设计师再次讲解木工注意，进行现场交底。
木工,MJ-大芯板：也称细木工板，是利用天然旋切单板与实木拼板经涂胶、热压而成的板材，选择细木工板一定要注意选择符合E0级以上环保标准的。夹芯板主要用在一些特殊造型，楼梯踏步等基础垫层。
木工,MJ-奥松板：奥松板，一种进口的中密度板，是夹芯板、刨花板的替代升级产品，特性是更加环保。奥松板用辐射松原木制成，主要使用原生林树木，能够更直接地确保所用纤维线的连续性奥松板一般被广泛用于装饰，家具，建筑，包装等行业，其硬度大，密度高，适合护墙板、软包、硬包、镜片等室内装饰基层。防火防潮性能优于传统大芯板、不易变形且非常环保。
木工,MJ- 石膏板： 采用世界5强的北新建材龙牌普通纸面石膏板，采用高性能护面纸与建筑石膏及特殊添加剂等芯材牢固粘结成型，正面呈灰白色，严格按照 GB/T 9775-1999 生产。强度高、韧性好:采用高性能护面纸，确保隔墙吊顶的强度。握钉力强:发泡率适中，单位面积重量适中，提高施工速度，降低劳动强度。护面纸粘结牢固:工艺、配方先进，不脱纸。
木工,MJ-双饰面板：也称免漆板，常用于家具制作的板材。板子表面的那层装饰纸，在学术上称三聚氢氨纸，这种纸有一定的抗打击能力，可以印刷各种图案，家具表面的木材图案就是印刷在这种专业纸上，而实际上内部的板材是刨花板。刨花板具有握钉力好，结实耐用的优点，选择双饰面板要选择符合环保E0级标准的。
木工,"MJ-木方：装修中常用的一种材料,有多种型号,用于撑起外面的装饰板，起支架作用。"
木工,MJ-轻钢龙骨：根据其型号、规格及用途的不同，有T形、C形、U形、卡式龙骨、L型边骨及专用配套附件等，轻钢龙骨广泛用于室内装修吊顶、隔墙、造型等。它坚固、耐用、抗腐蚀性强，在价格方面也广受建设单位和施工单位的欢迎，减少工程在施工过程中对木龙骨变形引起的质量的担忧，以及因变形而导致的频繁维修，大大降低工程施工成本和使用时因维修造成的各种烦恼。
木工,MJ-自攻螺丝：自攻螺丝是一种带有钻头的螺丝，自攻螺丝主要用于一些较薄板件的连接与固定，如夹心板，奥松板，指接板等相互的连接，轻钢龙骨边骨与副骨的连接等。优点硬度高，其穿透能力强，不易弯曲并且自身有很强的耐腐蚀能力。
木工,MJ-膨胀螺丝：一般说的是金属膨胀螺丝，膨胀螺丝的固定是利用楔形斜度来促使膨胀产生摩擦握裹力，达到固定效果。螺钉一头是螺纹，一头有锥度，外面包一铁皮（有的是钢管），铁皮圆筒（钢管）一半有若干切口，把它们一起塞进墙上打好的洞里，然后锁螺母，螺母把螺钉往外拉，将锥度拉入铁皮圆筒，铁皮圆筒被涨开，于是紧紧固定在墙上。
木工,MJ-封石膏板：窗帘盒已封石膏板，天花转角处的石膏板裁∟型固定，中间丁字接口裁T型固定，石膏板面层周边螺丝间距≤20cm，石膏板缝隙留0.5cm~1cm的V型间隔。
木工,MJ-v形槽，石膏板接缝采用v形工艺，后期充分填补石膏更牢固，降低开裂几率。
木工,MJ-防锈自攻丝，避免后期生锈
木工,MJ-主龙骨间距≤7，主副龙骨采用新型卡式龙骨，有一定的起拱量。
木工,MJ-中央空调出风口采用独家细木工侧板加固，保证后期风口百叶安装牢固性。
木工,MJ-吊顶拐角处采用品诺筑家独家护角神器，连接两根龙骨，使其成为一个整体，更加牢固，增加其稳定性，能够有效地防止后期出现拐角开裂现象。
木工,MJ-工艺要求是：石膏板饰面安装质量标准：①整体水平度＜3mm，②接缝高低≤2mm，表面无污染，无缺破坏。
木工,MJ-边龙骨固定点间距为≤3mm，吊杆固定间距为≤6mm。
木工,MJ-副骨排列间距≤350mm，专用自攻钉固定。
木工,MJ-采用8mm吊杆，膨胀拉爆固定。吊杆距墙边距离≤3mm，吊杆距离主龙骨末端≤1mm。
木工,MJ-石膏板饰面安装质量标准：①整体水平度＜3mm，②接缝高低≤2mm，表面无污染，无缺破坏。
木工,汇报结尾→→
木工验收,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX,为您即时报道，今天实际施工项目为【瓦工验收】，现在向您发送今日施工情况，请您查收。"
木工验收,汇报内容→→
木工验收,YJ-顶内为轻钢龙骨架
木工验收,"YJ-石膏板与石膏板之间留缝大于5m,V字形"
木工验收,YJ-吊顶转角龙骨使用斜拉工艺
木工验收,YJ-石膏板底板托侧板拼接工艺
木工验收,YJ-转角处采用45°对角工艺，相比较转角处采用L型拼板，更有效降低应力释放
木工验收,YJ-阴阳角是否垂直（允许偏差2mm）
木工验收,YJ-卫生间墙地砖通缝
瓦工验收,YJ-铺贴完后的墙砖和地砖对空鼓方面的质量要求：①无整块空鼓；②单块砖边或角空鼓数量不超过铺贴砖总数量的5%。
木工验收,YJ-所有砖面颜色一致，无破损。
瓦工验收,YJ-对卫生间铺贴完地砖后的坡度控制要求：须满足2%的排水要求。
木工验收,YJ-地面保护膜：对瓷砖表面起到保护作用，防止防刮花、刮伤（主材安装后、竣工前清理地面保护膜及保洁）。
木工验收,汇报结尾→→
木工验收,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
乳胶漆项,汇报标题→→
乳胶漆项,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【乳胶漆施工】，施工负责人：XXX   现在向您发送今日施工情况，请您查收。"
乳胶漆项,汇报内容→→
